product_id,product_name,manufacturer,Capacity,calories,sodium,sugars,protein,category
1,(증식용)야채건빵,상일식품(주),65,477,338,16.92,9.23,과자
2,[홀랜드앤바렛)구운옥수수스낵,해당없음,100,422,400,14,7,과자
3,[홀랜드앤바렛)바나나칩,해당없음,500,546,0,35,2,과자
4,12곡인절미스낵,(주)우리식품,50,460,88,8,18,과자
5,16곡물쫀디기,태평씨엔에프,120,431,817,41.49,9.02,과자
6,21곡물가득참깨건빵,상일식품(주),175,463,403,8.57,8.57,과자
7,21곡참깨스틱,상일식품(주),840,489,393,12.14,8.57,과자
8,21곡크림치즈롤,(주)개미식품,80,569,175,18.75,10,과자
9,21곡한입크리스피,(주)태광웰푸드,130,585,170,14,5,과자
10,60서클,해당없음,660,494,400,4,9,과자
11,6년근고려홍삼건빵,(주)금풍제과,400,418,342,19,19,과자
12,6형제함초발효보리건빵,(주)신흥제과,105,429,524,18.1,9.52,과자
13,79콘시리얼바,(주)씨알푸드,240,400,275,30,5,과자
14,79현미초코바,(주)씨알푸드,312,442,269,26.92,3.85,과자
15,7곡딸기롤과자,(주)개미식품,100,560,115,9,11,과자
16,7종야채맛스틱비스켓,해당없음,96,515,748,14.79,8.02,과자
17,99라이트바,(주)오리온,286,417,333,33.33,5,과자
18,CW청우오징어땅콩,(주)우농,98,488,320,18.37,10.2,과자
19,darda피자칩,(주)제이앤이,480,508,1150,3.33,6.33,과자
20,DELIGHTPROJECT갈릭버터베이글칩,(주)고메베이글,60,433,333,30,10,과자
21,DELIGHTPROJECT리얼피자베이글칩,(주)고메베이글,60,433,333,30,10,과자
22,DELIGHTPROJECT초코시나몬베이글칩,(주)고메베이글,50,450,480,28,10,과자
23,DELIGHTPROJECT허니버터베이글칩,(주)고메베이글,60,417,483,31.67,10,과자
24,GoldStar개나리콘,(주)동화씨앤에프,55,518,218,0,5.45,과자
25,HANARO굿갈릭새우칩,미찌푸드(주),140,536,1036,7,3,과자
26,HANARO굿하나로짱,미찌푸드(주),310,468,67,20,5,과자
27,HF오곡과자,주식회사올곧은,375,500,0,2.8,16,과자
28,HF코코아몬드,주식회사올곧은,80,556,0,5,20,과자
29,HomeplusSignature리얼느타리버섯칩,(주)명성식품,23,500,196,39.13,8.7,과자
30,HomeplusSignature리얼새송이버섯칩,(주)명성식품,25,420,220,24,12,과자
31,HomeplusSignature리얼연근칩,(주)명성식품,30,500,50,30,2.33,과자
32,HomeplusSignature리얼우엉칩,(주)명성식품,25,480,720,24,4,과자
33,HomeplusSignature맛새우칩,(주)코스모스제과,70,521,900,8.57,1.43,과자
34,HomeplusSignature짱이야,(주)코스모스제과,160,522,238,14.38,5.63,과자
35,HomeplusSignature트위스트,(주)코스모스제과,150,523,247,16.67,6.67,과자
36,LAVERLANDCRUNCH아몬드김스낵,아세아식품,25,499,462,18.8,25.2,과자
37,LOTTE야채크래커,상일식품(주),55,518,643,10.71,7.14,과자
38,LOTTE초단백질바,(주)엄마사랑,40,500,300,22.5,22.5,과자
39,MarketO다쿠아즈,(주)오리온,176,432,182,50,9.09,과자
40,MBTI단백칩레드페퍼&스위트칠리,(주)에스디씨,50,400,920,6,24,과자
41,MBTI단백칩어니언&사워크림,(주)에스디씨,50,410,920,6,24,과자
42,MEGACHIPS버터갈릭새우칩,(주)코스모스제과,490,530,750,9,2,과자
43,NEW러브볼,(주)금풍제과,250,465,280,19,9,과자
44,NEW아몬드콘푸레이크,도울바이오푸드영농조합법인,300,420,700,26,8,과자
45,NEW칸츄리콘콘버터맛,해태제과식품(주),90,517,600,6.67,3.33,과자
46,NEW크랙커,(주)금풍제과,250,460,280,19,9,과자
47,NEW튀김건빵,(주)금풍제과,250,487,347,15.2,8.4,과자
48,OnlyPrice고구마과자,풍전나이스제과(주),100,480,285,33,1.9,과자
49,OnlyPrice국내산21곡크리스피롤미니,(주)개미식품,130,640,220,15,4.2,과자
50,OnlyPrice꿀깨꽈배기,풍전나이스제과(주),110,464,223,28.18,3.18,과자
51,OnlyPrice새우과자,풍전나이스제과(주),110,532,575,5.45,5.82,과자
52,simplus고구마형과자,(주)코스모스제과,175,497,360,18.86,9.71,과자
53,simplus왕소라형과자,(주)코스모스제과,175,457,320,19.43,8,과자
54,simplus콘칩,(주)코스모스제과,110,545,364,3.64,6.36,과자
55,STOTV NOW 갈릭새우칩 슛,미찌푸드㈜,80,384,888,22.5,1.25,과자
56,The맛있는대롱과자,(주)동화씨앤에프,130,527,254,23.08,5.38,과자
57,The맛있는생강대롱과자,(주)동화씨앤에프,95,532,242,22.11,6.32,과자
58,W.K.Kellogg프로틴그래놀라바고소한맛,(주)엄마사랑,150,500,240,24,20,과자
59,W.K.Kellogg프로틴그래놀라바상큼한사과맛,(주)엄마사랑,120,403,300,26.67,20,과자
60,YOUUS왕새우칩,미찌푸드(주),54,502,967,11.11,3.7,과자
61,가데토스오리지날레시피스낵믹스,해당없음,496,476,980,2.04,8.16,과자
62,가마솥 떡 메밀 누룽지,썬푸드,250,390,222,0,7.8,과자
63,가보떼 크레페 덴텔 로탄티크,LOC MARIA - SITE DE LANVALLAY,125,419,400,44.8,6.4,과자
64,가파도깨보리건빵,(주)금풍제과,240,446,373,13,11,과자
65,가평잣두부과자,미가푸드,110,518,376,4.16,7.8,과자
66,갈레뜨,해당없음,240,491,170,32.42,7.21,과자
67,갈레티,해당없음,350,469,380,19.5,7.1,과자
68,갈릭바게트,마늘빵집,600,481,634,10,9,과자
69,갈릭새우칩,미찌푸드(주),490,570,877,6.67,3.33,과자
70,갈릭앤파슬리 브루스게타,"COMEX BAKERY, S.L.U.",150,528,1800,1.8,8.9,과자
71,갈릭토스트,마늘빵집,50,480,634,10,10,과자
72,감귤에퐁당현미퍼프,농업회사법인리뉴얼라이프(주),20,465,0,15,5,과자
73,감성마카로니,(주)일성씨엠에스,1400,400,25,23.39,7,과자
74,감자깡,(주)농심,75,500,633,5.33,6.67,과자
75,감자스틱간장계란버터,(주)델토리,40,588,325,2.5,5,과자
76,감자스틱오리지널,(주)델토리,40,575,425,2.5,5,과자
77,감자쌀과자,도울바이오푸드영농조합법인,32,422,500,6.25,6.25,과자
78,감자알칩,영양제과(주),42,476,714,4.76,4.76,과자
79,감자알칩볶음고추장맛,영양제과(주),14,479,721,7.14,7.14,과자
80,감자칩블랙페퍼앤드화이트트러플,해당없음,142,493,606,0,7.04,과자
81,감자칩사워크림어니언향,해당없음,110,505,680,3,4,과자
82,감자칩오리지날,해당없음,110,510,580,2.6,6,과자
83,감자칩치즈,해당없음,110,525,830,2.6,6,과자
84,감자톡매콤달콤맛,농업회사법인오리온농협(주),136,486,710,6,1,과자
85,감자톡허브솔트맛,농업회사법인오리온농협(주),136,496,620,3,1,과자
86,감자품격트러플,(주)크라운제과,48,417,792,4.17,0,과자
87,감태영양누룽칩,쌍지뜰,32,400,194,0.94,9.38,과자
88,감튀레드칠리맛,(주)농심,60,533,583,6,5,과자
89,갓뚜부과자,(주)쿠키아,50,546,360,16,10,과자
90,강명인청베리너츠바,농업회사법인(주)두레촌,25,480,0,24,16,과자
91,강명인청베리영양바,농업회사법인(주)두레촌,17,424,0,23.53,5.88,과자
92,강철부대 건빵,㈜금풍제과,240,433,283,16.67,9.33,과자
93,건강맘스낵메이플,주식회사가온앤푸드,30,400,340,23.33,20,과자
94,건강한현미쌀과자곡물그대로바나나,그린원푸드,30,400,33,23.33,6.67,과자
95,건강한현미쌀과자곡물그대로블루베리,그린원푸드,30,400,27,23.33,6.67,과자
96,건강한현미쌀과자곡물그대로치즈,그린원푸드,30,457,220,16.67,6.67,과자
97,건빵,해당없음,-,419,457,16.84,9.92,과자
98,건빵,상일식품(주),240,427,417,15,9.17,과자
99,검은깨두부스낵,주식회사올곧은,80,494,338,8.75,11.25,과자
100,검은콩건빵,영양제과(주),90,433,600,20,10,과자
101,검은콩깨보리건빵,(주)금풍제과,75,420,213,16,10.67,과자
102,검은콩인절미스낵,동아제과,125,540,147,16.8,7.28,과자
103,검은콩현미칩,성찬식품,7,400,643,14.29,10,과자
104,검정깨당과,해당없음,250,471,33,13,13,과자
105,검정깨두부전병,두씨밀레,84,580,220,20,14,과자
106,검정깨스낵,씨튼장애인직업재활센터씨튼베이커리,65,431,231,23.08,7.69,과자
107,검정깨월병,해당없음,400,402,102,30,2,과자
108,게리살룻녹차맛,해당없음,110,514,432,18.18,9.09,과자
109,게메즈에낙,해당없음,16,500,1125,2.88,12.5,과자
110,겐지파이,"SANRITSU SEIKA CO.,LTD",168,558,548,32.14,5.95,과자
111,겨울연서오리지널랑그드샤,(주)엘가,130,538,77,27,8,과자
112,견과류가들어있는흑미누룽지스낵,성찬식품,60,467,40,13.33,3.33,과자
113,계란과자,(주)신흥제과,80,463,350,17.5,6.25,과자
114,계란과자,(주)청우식품,50,464,186,34,6,과자
115,고구마김부각,빛과소금,60,492,717,0,13.33,과자
116,고구마깡,(주)농심,83,500,446,19.28,3.61,과자
117,고구마다시마부각,빛과소금,50,520,1020,0,6,과자
118,고구마맛피자칩,(주)제이앤이,60,508,458,6.67,6.67,과자
119,고구마스틱,(주)새롬식품,378,487,30,14.29,3.17,과자
120,고구마스틱,해당없음,100,529,60,18,1.2,과자
121,고구마크런치바,크레푸드,28,493,211,14.29,10.71,과자
122,고구마형,금성식품,1850,490,430,13.33,10,과자
123,고구마형과자,(주)광일식품,1200,474,202,14,10,과자
124,고구마형과자,(주)청우식품,190,474,202,14,10,과자
125,고구마형과자,(주)코스모스제과,125,496,360,19.2,9.6,과자
126,고구마형과자,동아제과,220,517,350,23.33,10,과자
127,고구마형과자,유풍제과,2200,470,260,16,12,과자
128,고구마형스낵,(주)광일식품,125,400,202,14.4,10.4,과자
129,고구메,(주)새롬식품,315,452,46,12.7,3.17,과자
130,고구미(美)스틱,(주)새롬식품,504,488,18,18.06,2.78,과자
131,고다치즈크림맛쌀과자,해당없음,150,511,706,12,5,과자
132,고단백누네띠네칩,㈜ 에스피씨삼립,55,455,382,23.64,12.73,과자
133,고단백에너지바,(주)엄마사랑,25,460,120,20,24,과자
134,고래밥볶음양념맛,(주)오리온,46,448,696,10.87,8.7,과자
135,고로케땅콩,(주)오리온,180,507,533,13.33,6.67,과자
136,고르곤졸라맛치즈크래커,신화당제과,540,528,815,3.7,7.41,과자
137,고르곤졸라소프트콘&까망베르맛,(주)산들촌,145,672,407,2.76,2.76,과자
138,고르곤졸라소프트콘&까망베르맛,(주)에스디씨,145,672,407,2.76,2.76,과자
139,고르곤졸라왕새우,풍전나이스제과(주),360,520,700,7,5,과자
140,고르곤졸라치즈소프트콘,(주)산들촌,145,690,350,5,3,과자
141,고르곤졸라치즈소프트콘,(주)에스디씨,145,690,350,5,3,과자
142,고마도라꾸,해당없음,170,472,132,32,10,과자
143,고소미,(주)오리온,216,517,306,27.78,5.56,과자
144,고소한21곡참깨스틱,상일식품(주),220,476,445,9.55,8.64,과자
145,고소한고구마칩,다모식품,45,553,18,20,4.44,과자
146,고소한고소아,(주)광일식품,130,462,230,14.62,9.23,과자
147,고소한리얼머쉬룸,(주)명성식품,100,492,248,48,8,과자
148,고소한맛짱,미찌푸드(주),360,468,70,20,5,과자
149,고소한맛짱(달콤고소한맛),미찌푸드(주),280,488,317,25,6,과자
150,고소한맛추억의러스크,(주)씨케이하우스,47,500,540,21.28,10.64,과자
151,고소한쌀과자,롯데쇼핑(주),300,480,625,9.3,5,과자
152,고소한치즈봉,(주)삼아인터내셔날,90,478,722,14.44,7.78,과자
153,고소한흑미인절미,(주)제이디코리아,50,476,54,4,6,과자
154,고소함이쏘옥인절미단호박,농업회사법인리뉴얼라이프(주),30,430,80,20,6.67,과자
155,고소함이쏘옥인절미콩고물,농업회사법인리뉴얼라이프(주),30,427,40,16.67,10,과자
156,고스트의매콤감자탄창,(주)델토리,90,600,467,1.11,4.44,과자
157,고씨네치즈맛크리스피,(주)태광웰푸드,70,571,186,11.43,4.29,과자
158,고창콩두부과자오리지널,고창지역자활센터고인돌청정두부,200,574,449,8,8,과자
159,고추냉이품은스낵(매운맛),(주)브니엘월드,80,589,440,13.63,10.75,과자
160,고추냉이품은스낵(순한맛),(주)브니엘월드,80,589,440,13.63,10.75,과자
161,고추지라시,가나식품공업사,650,415,362,24.47,6.3,과자
162,고추칩고추튀김맛,(주)오리온,53,538,566,1.89,5.66,과자
163,고향만두화낙신낙,해태제과식품(주),57,583,900,3.33,3.33,과자
164,고흥석류크리스피롤,(주)태광웰푸드,70,557,193,12.86,4.29,과자
165,곡물롤21,TSANG LIN INDUSTRIES (M) SDN BHD,180,564,300,19,4,과자
166,곡물친구고구마,(주)개미식품,40,493,113,5,10,과자
167,곡물프로틴볼바베큐,(주)에스디씨,50,480,540,2,18,과자
168,곤약쫀드기 옥수수맛,리얼쫀득,35,329,514,34.29,5.71,과자
169,곤약쫀드기 츄러스맛,리얼쫀득,35,329,543,37.14,5.71,과자
170,골목대장짱군,주식회사올곧은,200,503,170,23.5,6,과자
171,곰곰라면스낵,해당없음,25,512,780,4.8,8,과자
172,곰곰유기농쌀스틱단호박,(주)제이디코리아,35,400,0,0,8.57,과자
173,곰곰유기농쌀스틱자색고구마,(주)제이디코리아,35,400,0,0,8.57,과자
174,곰곰콘칩피자맛,(주)제이앤이,480,513,1150,2.5,6.5,과자
175,곰곰크리스피롤21곡,(주)태광웰푸드,450,573,182,13.33,4.67,과자
176,곰표오리지널나쵸,미찌푸드(주),190,522,434,1.58,6.32,과자
177,공룡알,(주)오리온,44,450,591,18.18,6.82,과자
178,공룡알공룡모양스낵,(주)오리온,152,479,605,15.79,7.89,과자
179,공룡알칩치즈마요,영양제과(주),22,450,1227,9.09,9.09,과자
180,공주밤두부칩,두두담,75,449,380,26.67,12,과자
181,광삭감자스낵,풍전나이스제과(주),72,563,375,5.56,2.78,과자
182,광삭새우스낵,풍전나이스제과(주),80,538,688,7.5,5,과자
183,광삭오징어버터,풍전나이스제과(주),72,542,639,0.56,2.78,과자
184,광삭카라멜꽈배기,풍전나이스제과(주),72,507,347,22.22,4.17,과자
185,광산우리밀러스크아몬드(실온),들래미협동조합,24,546,282,16.46,10.88,과자
186,광산우리밀러스크얼그레이,들래미협동조합,16,613,388,15.63,8.44,과자
187,구례엄마손맛김부각,농업회사법인주식회사내안에자연,40,525,480,0.5,14.25,과자
188,구마구마해,(주)새롬식품,57,477,49,19.3,3.51,과자
189,구쁘랑,틔움직업재활센터,80,484,280,23.75,10,과자
190,구욘오리지날다이제스티브,해당없음,250,422,272,0.5,6,과자
191,구욘트윙스,해당없음,154,461,1100,37,5,과자
192,구욘트윙스타파,해당없음,7000,445,1500,27,6.5,과자
193,구운감자,해태제과식품(주),27,481,778,7.41,2.59,과자
194,구운김땅콩,㈜오리온,186,500,490,21,10,과자
195,구운나쵸칩,(주)해오름식품,40,438,275,0,7.5,과자
196,구운나쵸칩양파맛,(주)해오름식품,40,450,325,2.5,7.5,과자
197,구운대롱과자,동성식품,3000,417,833,20,10,과자
198,구운미니마늘바게뜨,(주)광일식품,120,486,415,16.67,10,과자
199,구운미니피자맛바게뜨,(주)광일식품,120,476,486,15,10.83,과자
200,구운새우칩,(주)농심,50,467,900,13.33,6.67,과자
201,구운양파,해태가루비(주),70,600,471,4.29,4.29,과자
202,구운양파맛감자칩,(주)코스모스제과,130,504,315,3.85,6.92,과자
203,구운오잉낙지호롱구이맛,풍전나이스제과(주),60,550,600,8.33,5,과자
204,구운오징어땅콩,(주)우농,98,474,265,19.39,10.2,과자
205,구운짜장,해태가루비(주),70,521,671,4.29,7.14,과자
206,구운참깨건빵,상일식품(주),250,464,404,8.8,8.8,과자
207,구워 만든 우리밀 통밀퐁,영농조합법인산골농장,45,462,0,37.78,6.67,과자
208,구워만든곡물그대로21,(주)개미식품,1000,605,190,14,4,과자
209,구워만든곡물그대로21자색고구마,(주)개미식품,1000,589,110,13,4,과자
210,구워서더고소한나쵸칩,(주)해오름식품,40,425,163,0,7.5,과자
211,국내산쌀로만든아몬드크런치,농업회사법인조은제과주식회사,200,425,5,19,12,과자
212,국산쌀로구운크리스피초코롤,(주)태광웰푸드,425,648,125,12.5,8.75,과자
213,국산쌀로구운크리스피치즈롤,(주)태광웰푸드,425,648,188,12.5,8.75,과자
214,국산콩두부과자,(주)코스모스제과,80,506,1388,12.5,8.75,과자
215,국수과자,카밀식품,100,480,519,13,11,과자
216,굴리베르브로예뒤뿌아투,해당없음,380,513,228,24,5.9,과자
217,굿데일리,케익모아,300,507,34,14.3,11,과자
218,굿비스스퀘어퍼프,해당없음,380,467,522,13,9,과자
219,귤공방랑그드샤감귤,빅푸드시스템,152,538,35,30.77,5.38,과자
220,귤공방랑그드샤녹차,빅푸드시스템,152,523,62,38.46,5.38,과자
221,그대로쌀과자,해당없음,300,500,682,18.18,9.09,과자
222,그라함스허니,해당없음,200,424,420,24,8,과자
223,그랑쉘사과,(주)청우식품,195,423,227,30,5,과자
224,그래놀라 오트 앤 베리 Oat & Berry,㈜해오름식품,40,388,75,30,7.5,과자
225,그래놀라크런치넛츠앤씨드,해당없음,160,492,205,27,9.9,과자
226,그래놀라크런치위드초코칩,해당없음,160,492,198,32,8.5,과자
227,그로나큐션스위드초콜릿맛,해당없음,280,540,280,26,7,과자
228,그로나플라멘코,해당없음,320,452,295,25,5,과자
229,그로똘리,해당없음,280,466,180,22,8,과자
230,그리시니알메이스,해당없음,150,409,400,2,11,과자
231,그린빈칩,해당없음,5200,484,27,10,7.8,과자
232,그린피스 후추향,"VIEN HONG CO.,LTD",100,440,600,18,15,과자
233,그릴레틴플레인,해당없음,161,422,474,9.3,12,과자
234,길쭉이사과쌀과자,맘스쌀과자,60,407,15,0,10,과자
235,김고소아,(주)맛사랑,600,468,375,30,8,과자
236,김과자(커브모양),해당없음,200,420,383,37,7,과자
237,김말이쌀전병,이봉환제과,500,473,220,40,6.67,과자
238,김맛,금성식품,1850,467,833,3.33,10,과자
239,김맛고소아,(주)서래푸드,600,493,290,13.57,11.87,과자
240,김맛나,성찬식품,600,416,170,8.33,9,과자
241,김맛나,태광제과,150,557,193,15.33,10.67,과자
242,김맛나,㈜맛사랑,160,485,410,34,8,과자
243,김맛나-2,성찬식품,650,423,173,6.77,10.15,과자
244,김맛나스낵,에코푸드(주),180,458,144,0,7.5,과자
245,김맛스낵,서울제과,300,479,178,18,11,과자
246,김부각,월매식품,130,450,393,0.31,9.32,과자
247,김부각튀김,(주)남원맛부각,45,516,715,0,14.33,과자
248,김스깡,㈜ 맛사랑,180,467,375,30,8.33,과자
249,김쌀과자,해당없음,102,518,794,11.8,5.9,과자
250,김쌀전병,이봉환제과,250,428,334,40.4,8,과자
251,김지라시,가나식품공업사,600,420,325,23,5,과자
252,김콘,(주)미미식품,480,500,210,13.33,6.67,과자
253,까망베르볼,지디앤와이(주),70,433,186,4.29,5.71,과자
254,까망베르치즈케이크과자,해당없음,140,434,117,31,8,과자
255,까망칸쵸바닐라,롯데제과(주),170,488,395,30.23,6.74,과자
256,까망콩국시과자,금호제과,135,484,258,13.04,11.48,과자
257,깐풍새우깡,(주)농심,80,483,800,10,6.67,과자
258,깜놀브라우니칩,(주)지웰,50,458,270,50,6,과자
259,깨범벅,금성식품,1850,457,553,16.67,10,과자
260,깨보리건빵,(주)금풍제과,450,438,351,15,10,과자
261,깨소미,정든식품,250,494,152,15,7,과자
262,깨쌀과자,해당없음,5000,478,0,4,4,과자
263,깨튀김건빵,정든식품,250,484,138,15,7,과자
264,꺼벙이,농업회사법인(주)싱싱,110,457,339,13,10,과자
265,꼬깔콘고소한맛,롯데제과(주),72,569,486,5.56,5.56,과자
266,꼬깔콘군옥수수맛,롯데제과(주),72,569,431,5.56,5.56,과자
267,꼬깔콘매콤달콤한맛,롯데제과(주),72,569,583,6.94,5.56,과자
268,꼬깔콘멘보샤맛,롯데제과(주),72,514,986,15.28,5.56,과자
269,꼬깔콘버팔로윙맛,롯데제과(주),72,535,875,6.94,5.56,과자
270,꼬깔콘빼빼로,롯데제과(주),35,514,400,42.86,8.57,과자
271,꼬깔콘스테이크화이타맛,롯데제과(주),72,583,900,6.67,5.33,과자
272,꼬깔콘찰옥수수맛,롯데제과(주),72,567,667,7.33,4.67,과자
273,꼬깔콘치먹스파이시맛,롯데제과(주),72,569,944,6.94,5.56,과자
274,꼬깔콘콘스프맛,롯데제과(주),144,560,500,7,6,과자
275,꼬깔콘허니버터맛,롯데제과(주),132,600,500,3.33,6.67,과자
276,꼬꼬볼,(주)코스모스제과,88,500,528,29.55,3.98,과자
277,꼬끼오스낵,조은식품,25,550,375,15,5,과자
278,꼬마두부과자,카밀식품,160,401,86,35.69,11,과자
279,꼬마링딸기&당근,도울바이오푸드영농조합법인,30,400,0,2.33,6.67,과자
280,꼬마링브로콜리&사과,도울바이오푸드영농조합법인,30,400,0,0,10,과자
281,꼬마오땅,(주)우농,2700,487,313,18,13.67,과자
282,꼬마오징어땅콩,(주)우농,300,487,313,18,13.6,과자
283,꼬마파래전병,태양제과,450,403,256,33.3,6.06,과자
284,꼬북칩달콤한콩가루인절미맛,(주)오리온,80,573,367,13.33,6.67,과자
285,꼬북칩새우맛,(주)오리온,160,570,833,6.67,6.67,과자
286,꼬북칩스윗시나몬맛,(주)오리온,65,537,367,16.67,3.33,과자
287,꼬북칩초코츄러스맛,(주)오리온,160,550,217,30,6.67,과자
288,꼬북칩콘스프맛,(주)오리온,80,583,700,6.67,3.33,과자
289,꼬북칩히말라야소금맛,(주)오리온,136,570,733,6.67,3.33,과자
290,꽃게랑,(주)빙그레,70,550,700,6.67,6.67,과자
291,꽃게랑WASABI,(주)빙그레,70,521,757,4.57,7.14,과자
292,꽃게랑광천김,(주)빙그레,70,550,829,5.71,7.14,과자
293,꽃게랑불짬뽕,(주)빙그레,70,529,771,3.86,7.14,과자
294,꽈배기,농업회사법인(주)싱싱,396,530,255,3.03,9.09,과자
295,꽈브러,금성식품,1850,447,507,3.33,6.67,과자
296,꾀돌이,광일제과,900,436,264,20,12,과자
297,꿀고구마스틱,주식회사올곧은,67,455,37,23.88,2.99,과자
298,꿀고구마칩,주식회사올곧은,55,527,64,27.27,3.64,과자
299,꿀깨꽈배기,미찌푸드(주),240,534,355,24,2,과자
300,꿀꽈배기,(주)농심,90,500,256,23.33,3.11,과자
301,꿀꽈배기,풍전나이스제과(주),75,636,289,25,7.14,과자
302,꿀땅콩듬뿍카라멜콘,(주)크라운제과,44,527,114,31.82,9.09,과자
303,꿀먹은쌀스낵,(주)우리밀,80,494,256,16.25,3.75,과자
304,꿀먹은튀긴건빵,(주)코스모스제과,110,500,236,22.73,5.45,과자
305,꿀을바른바삭한쌀스낵,(주)우리밀,80,510,171,16.25,3.75,과자
306,꿈엔들곡물21,상일식품(주),180,589,533,17,5.6,과자
307,꿈엔들한입인절미스넥,(주)씨앤미,250,514,200,11,5,과자
308,나를이쁘게하는크리스피롤21곡+밀양대추,(주)태광웰푸드,600,600,150,20,7,과자
309,나브라탄믹춰,해당없음,150,600,600,0,13.33,과자
310,나쵸칩,해당없음,9080,446,196,4,7,과자
311,나쵸칩비프화이타맛,미찌푸드(주),100,533,370,3,7,과자
312,나쵸칩오리지널,미찌푸드(주),100,531,350,2,6,과자
313,나쵸칩할라피뇨맛,미찌푸드(주),100,532,300,3,6,과자
314,나쵸토틸라칩,해당없음,453,497,196,0,7,과자
315,나트카트님부,해당없음,125,467,900,0,3.33,과자
316,난나나콘,서울식품,180,500,167,13.33,3.33,과자
317,난나나콘,주식회사에이앤제우스,50,490,160,14,4,과자
318,난카타이,해당없음,360,507,47,33.33,6.67,과자
319,난황연용월병,해당없음,125,418,44,29.6,3.2,과자
320,날씬한미스김이몰래먹는부각,예미담,25,516,412,0,16,과자
321,날씬한크리스피21+,(주)태광웰푸드,600,500,250,20,10,과자
322,남대문찹쌀도나스,영양제과(주),42,440,952,14.29,7.14,과자
